width,x,y
29,425,315
29,425,315
28,424,314
28,424,313
28,423,313
28,422,312
29,422,311
29,422,309
30,422,304
32,421,302
32,420,298
33,420,290
33,419,285
33,420,276
32,420,265
32,420,259
31,420,254
30,420,251
30,419,250
31,418,251
33,417,254
34,416,255
30,416,260
27,417,268
26,419,275
25,422,289
25,426,295
26,429,303
28,432,310
30,432,319
33,433,334
36,435,339
36,443,350
37,447,360
39,449,373
41,451,386
42,454,395
43,459,416
44,462,426
46,466,435
47,470,448
49,472,452
49,472,457
49,470,458
50,469,457
49,468,454
47,464,442
45,460,425
43,456,414
44,451,406
46,456,407
46,454,406
46,453,406
46,453,406
46,452,406
46,451,407
45,451,407
45,450,408
45,451,410
45,451,411
44,451,412
43,452,413
42,453,415
41,453,417
40,453,419
40,453,420
39,453,422
38,454,424
37,453,426
37,453,428
35,453,430
35,453,431
34,455,433
33,452,434
31,448,436
29,449,437
29,448,438
29,446,441
28,447,444
28,448,446
28,449,449
28,450,450
28,449,452
27,449,454
26,446,456
